source_name,author,date,title,description,content,title_desc,one_shot_class,tesla_related,label,title_label,title_score,content_label,content_score,description_label,description_score,title_desc_label,title_desc_score,source_country
News.com.au,Lexie Cartwright,2023-09-13,Elon Musk shares photo of Amber Heard,Elon Musk has shared a private photo he took of Amber Heard while they were dating.,"Elon Musk has shared a private photo he took of Amber Heard while they were dating.
The Tesla founders controversial new biography Elon Musk, which was released with a flurry of headline-making lin [+2886 chars]",Elon Musk shares photo of Amber Heard Elon Musk has shared a private photo he took of Amber Heard while they were dating.,yes,,,neutral,0.9392780661582948,neutral,0.9274688363075256,neutral,0.9180667400360109,neutral,0.9268384575843812,Australia
ABC News,BARBARA ORTUTAY AP technology writer,2023-09-13,US says Elon Musk should not be immune to testifying about the former Twitter,The U.S. government says the former Twitters request to end oversight of its data privacy and security practices is meritless and owner Elon Musk should not be immune to testifying about the company since he has first-hand knowledge of the conduct...,The U.S. government says the former Twitter's request to end oversight of its data privacy and security practices is meritless and owner Elon Musk should not be immune to testifying about the company [+3634 chars],US says Elon Musk should not be immune to testifying about the former Twitter The U.S. government says the former Twitters request to end oversight of its data privacy and security practices is meritless and owner Elon Musk should not be immune to testifying about the company since he has first-hand knowledge of the conduct...,no,,,neutral,0.8897557854652405,negative,0.6671412587165833,negative,0.7459458112716675,negative,0.5926486253738403,US
Business Insider,"Pete Syme,Grace Dean",2023-09-13,"During stressful periods at work and in his personal life, Elon Musk would stay awake at night and vomit. He says working so hard has 'taken its toll.'","Elon Musk struggled with stomach issues during challenging periods in his career and relationships, Walter Isaacson wrote.","Elon Musk.Jim Watson/Getty Images
<ul><li>Walter Isaacson's biography ""Elon Musk"" reveals the billionaire's struggles with stress.</li><li>Musk's partners have described him staying up all night and [+3194 chars]","During stressful periods at work and in his personal life, Elon Musk would stay awake at night and vomit. He says working so hard has 'taken its toll.' Elon Musk struggled with stomach issues during challenging periods in his career and relationships, Walter Isaacson wrote.",no,,,negative,0.8583655953407288,neutral,0.841317892074585,neutral,0.697850227355957,negative,0.6380591988563538,US
Business Insider,Insider Inc.,2023-09-13,"Elon Musk, Mark Zuckerberg, Bill Gates and other tech names head to Washington for a closed-door meeting on policing AI","Some of the biggest tech leaders in the world, like Elon Musk and Mark Zuckerberg, gathered in Washington to discuss ways to potentially police AI.","Elon Musk, speaking outside the ""AI Insight Forum"" in Washington on Wednesday. He and other tech leaders were discussing artificial intelligence and possible government regulation.Photo by Nathan How [+3864 chars]","Elon Musk, Mark Zuckerberg, Bill Gates and other tech names head to Washington for a closed-door meeting on policing AI Some of the biggest tech leaders in the world, like Elon Musk and Mark Zuckerberg, gathered in Washington to discuss ways to potentially police AI.",no,yes,positive,neutral,0.9270383715629578,neutral,0.9216017723083496,neutral,0.848802387714386,neutral,0.8958818912506104,US
Next Big Future,Brian Wang,2023-09-13,Making Sense of Tesla Semi Real World Ranges at 400-440 Miles,"There are real world range tests for Tesla Semi, Freightliner eCascadia and other electric Semi trucks at the Run for Less event. Truck average driving speed is critical to the comparison of the real world ranges. People who lived through the 1970s and 1980s ","There are real world range tests for Tesla Semi, Freightliner eCascadia and other electric Semi trucks at the Run for Less event. Truck average driving speed is critical to the comparison of the real [+2578 chars]","Making Sense of Tesla Semi Real World Ranges at 400-440 Miles There are real world range tests for Tesla Semi, Freightliner eCascadia and other electric Semi trucks at the Run for Less event. Truck average driving speed is critical to the comparison of the real world ranges. People who lived through the 1970s and 1980s ",yes,,,neutral,0.9349605441093444,neutral,0.9226462244987488,neutral,0.927504539489746,neutral,0.9276440143585204,US
BBC News,,2023-09-13,"'Overwhelming consensus' to regulate AI, says Elon Musk",The Tesla CEO was among the top tech leaders meeting with US lawmakers to discuss AI governance,"Top tech leaders, including Elon Musk, Mark Zuckerberg, Sundar Pichai and Bill Gates, met US lawmakers on Wednesday to discuss AI governance.
'This meeting may go down in history as being very impor [+47 chars]","'Overwhelming consensus' to regulate AI, says Elon Musk The Tesla CEO was among the top tech leaders meeting with US lawmakers to discuss AI governance",yes,,,positive,0.8356161713600159,negative,0.8142848610877991,neutral,0.8590039014816284,positive,0.7137036919593811,UK
Next Big Future,Brian Wang,2023-09-13,Tesla Semi Crushing Freightliner eCascadia and BYD Semi in Real World Range Tests,The Run on Less Event is testing electric semi trucks with real world deliveries to test their range and payload performance. Tesla is getting up to double the range of many of these competing trucks. Pepsi Tesla semi trucks are getting 370 to 420 miles of ra,The Run on Less Event is testing electric semi trucks with real world deliveries to test their range and payload performance. Tesla is getting up to double the range of many of these competing trucks [+1691 chars],Tesla Semi Crushing Freightliner eCascadia and BYD Semi in Real World Range Tests The Run on Less Event is testing electric semi trucks with real world deliveries to test their range and payload performance. Tesla is getting up to double the range of many of these competing trucks. Pepsi Tesla semi trucks are getting 370 to 420 miles of ra,yes,,,neutral,0.8646884560585022,positive,0.7175270318984985,neutral,0.5565417408943176,neutral,0.7056209444999695,US
Business Insider,Brent D. Griffiths,2023-09-13,Elon Musk told biographer that Trump is 'the world champion of bullshit',"According to Walter Isaacson's biography, Musk approached Trump's election with cautious optimism that later vanished in the face of ""buffoonery.""","Tesla CEO Elon MuskChesnot/Getty Images
<ul>
<li>Elon Musk told his biographer that he's ""not Trump's fan.""</li>
<li>Musk, according to Walter Isaacson's new book, also called the former president "" [+1974 chars]","Elon Musk told biographer that Trump is 'the world champion of bullshit' According to Walter Isaacson's biography, Musk approached Trump's election with cautious optimism that later vanished in the face of ""buffoonery.""",no,no,neutral,neutral,0.8376086354255676,neutral,0.7926226854324341,negative,0.6070228815078735,neutral,0.5356520414352417,US
Politico,Steven Overly,2023-09-13,"Its time to regulate AI like cars and drugs, top Microsoft exec says","Microsoft President Brad Smith will join other tech leaders, including Elon Musk, Mark Zuckerberg and Sam Altman, at an artificial intelligence forum today hosted by Senate Majority Leader Chuck Schumer.","With Congress in a flurry of hearings on AI this week, Smith is among the tech leaders expected at a closed-door session with Senate Majority Leader Chuck Schumer on Wednesday, along with Elon Musk o [+3468 chars]","Its time to regulate AI like cars and drugs, top Microsoft exec says Microsoft President Brad Smith will join other tech leaders, including Elon Musk, Mark Zuckerberg and Sam Altman, at an artificial intelligence forum today hosted by Senate Majority Leader Chuck Schumer.",no,yes,positive,neutral,0.9159262180328368,neutral,0.9207975268363952,neutral,0.931958019733429,neutral,0.9205034971237184,US
Fortune,Paolo Confino,2023-09-13,"During the most concentrated pain in his life, Elon Musk saved Tesla and created 'the algorithm' that would become his manufacturing and management philosophy","Elon Musk developed ""the algorithm"" while trying to save Tesla from financial ruin and facing the darkest moment of his personal life, new biography says.","One of Elon Musks biggest accomplishments happened during what he refers to as the darkest, most difficult time in his life. In July 2017, Tesla had just introduced its Model 3 sedan, a more moderate [+7534 chars]","During the most concentrated pain in his life, Elon Musk saved Tesla and created 'the algorithm' that would become his manufacturing and management philosophy Elon Musk developed ""the algorithm"" while trying to save Tesla from financial ruin and facing the darkest moment of his personal life, new biography says.",yes,yes,positive,neutral,0.9255152344703674,neutral,0.5778750777244568,neutral,0.914081871509552,neutral,0.9174419045448304,US
Business Insider,Charles R. Davis,2023-09-13,Elon Musk's control of Starlink gives him unchecked power over elected governments,There is a growing consensus that one unelected man should not decide what is or is not a legitimate military target.,"Chesnot/Getty Images
<ul>
<li>Elon Musk's control over Starlink is in the spotlight after he thwarted a Ukrainian attack.</li>
<li>Musk says he vetoed a 2022 strike on Russia's Black Sea Fleet over  [+7893 chars]",Elon Musk's control of Starlink gives him unchecked power over elected governments There is a growing consensus that one unelected man should not decide what is or is not a legitimate military target.,no,no,negative,neutral,0.8981497287750244,negative,0.832604706287384,neutral,0.7193348407745361,neutral,0.7972771525382996,US
Next Big Future,Brian Wang,2023-09-13,Billionaire Insider Ron Baron Reveals Tesla Secrets and Teslas Future,"Ron Baron is worth over $5 billion, manages about $45 billion in his stock funds and he and his funds are a top 20 owner in Tesla. He has picked multiple big winners in Tesla, SpaceX, Gartner, Arch and CoStar Group. As a big and early Tesla investor, Ron freq","Ron Baron is worth over $5 billion, manages about $45 billion in his stock funds and he and his funds are a top 20 owner in Tesla. He has picked multiple big winners in Tesla, SpaceX, Gartner, Arch a [+2453 chars]","Billionaire Insider Ron Baron Reveals Tesla Secrets and Teslas Future Ron Baron is worth over $5 billion, manages about $45 billion in his stock funds and he and his funds are a top 20 owner in Tesla. He has picked multiple big winners in Tesla, SpaceX, Gartner, Arch and CoStar Group. As a big and early Tesla investor, Ron freq",yes,,,neutral,0.9305088520050048,neutral,0.8444245457649231,neutral,0.9062719345092772,neutral,0.9204620718955994,US
Business Insider,Tim Levin,2023-09-13,"Mercedes-Benz's $100,000 electric SUV is an awesome Tesla rival  but its blob-like looks aren't for everyone",The Mercedes EQE SUV is an awesome alternative to Tesla's Model X with controversial style.,"The 2023 Mercedes-Benz EQE SUV brings a luxurious interior and awe-inspiring driving tech. Tim Levin/Insider
<ul><li>I drove Mercedes-Benz's new electric SUV: the EQE SUV. </li><li>It costs $77,900  [+5110 chars]","Mercedes-Benz's $100,000 electric SUV is an awesome Tesla rival  but its blob-like looks aren't for everyone The Mercedes EQE SUV is an awesome alternative to Tesla's Model X with controversial style.",yes,yes,neutral,neutral,0.8080294132232666,neutral,0.776226818561554,neutral,0.7692376375198364,neutral,0.8533957600593567,US
The Washington Post,Cat Zakrzewski,2023-09-13,"Senate AI hearing draws Google, Meta and other tech executives","Xs Elon Musk, Metas Mark Zuckerberg, Googles Sundar Pichai and OpenAIs Sam Altman were among the tech leaders on Capitol Hill discussing AI regulation.","Comment on this story
Comment
Some of the most powerful tech leaders in the world including Tesla CEO Elon Musk and Meta CEO Mark Zuckerberg traveled to Capitol Hill for a meeting on artificial int [+10166 chars]","Senate AI hearing draws Google, Meta and other tech executives Xs Elon Musk, Metas Mark Zuckerberg, Googles Sundar Pichai and OpenAIs Sam Altman were among the tech leaders on Capitol Hill discussing AI regulation.",no,yes,positive,neutral,0.8766645193099976,neutral,0.8783096671104431,neutral,0.932753324508667,neutral,0.9249579906463624,US
Fortune,Chloe Berger,2023-09-13,"How Musk and Bezos first met, with an insulted Elon inviting himself to tour Blue Origin","The two billionaire CEOs rubbed each other the wrong way upon meeting, according to new biography about Elon Musk.","Billionaire CEOs are like betta fish. Put them in the same tank and they might get territorial (or write passive-aggressive tweets). At least, that seems to be the case for Elon Musk and Jeff Bezos,  [+4327 chars]","How Musk and Bezos first met, with an insulted Elon inviting himself to tour Blue Origin The two billionaire CEOs rubbed each other the wrong way upon meeting, according to new biography about Elon Musk.",no,no,neutral,neutral,0.9250672459602356,neutral,0.8817780017852783,negative,0.7338349223136902,neutral,0.4881155788898468,US
